,x,y,EVI
156,-7810178.291,1359012.026,1759.333374
157,-7809946.634,1359012.026,3282.888916
158,-7809714.978,1359012.026,2817.684326
159,-7809483.322,1359012.026,2581.244385
160,-7809251.665,1359012.026,2238.375
161,-7809946.634,1358780.369,2899.166748
162,-7809714.978,1358780.369,2607.444336
163,-7809483.322,1358780.369,2440.970703
164,-7809714.978,1358548.713,2065.25
165,-7809483.322,1358548.713,2260.161377
166,-7809251.665,1358548.713,1384.088257
167,-7809020.009,1358548.713,1220.243896
168,-7809946.634,1358317.057,222.6666718
169,-7809714.978,1358317.057,1190.333374
170,-7824309.329,1356695.462,1295.275024
171,-7824077.672,1356695.462,1299.131592
172,-7824309.329,1356463.806,2363.125
173,-7824077.672,1356463.806,2325.727295
174,-7824309.329,1356232.149,1987.599976
175,-7813189.823,1356232.149,190
176,-7810409.947,1356232.149,698.4571533
177,-7813884.792,1356000.493,153.3333282
178,-7813421.48,1356000.493,1193.75
179,-7813189.823,1356000.493,977
180,-7813421.48,1355768.837,2343
181,-7813189.823,1355768.837,1243.421021
182,-7812958.167,1355768.837,394.444458
183,-7825467.61,1355537.18,1186.133301
184,-7825235.954,1355537.18,1420.361694
185,-7815738.043,1355305.524,680
186,-7825235.954,1355073.868,808.3414917
187,-7825235.954,1354842.211,1822.625
188,-7825004.298,1354842.211,2338.138916
189,-7824772.641,1354610.555,2311.800049
190,-7824540.985,1354610.555,2630.425537
191,-7824309.329,1354610.555,2229.729736
192,-7824077.672,1354610.555,2098.432373
193,-7817359.638,1354610.555,3640.333252
194,-7816896.325,1354610.555,1589.125
195,-7824772.641,1354378.899,1537.553223
196,-7824540.985,1354378.899,1904.644409
197,-7824309.329,1354378.899,1829.900024
198,-7824077.672,1354378.899,1733.463379
199,-7824309.329,1354147.242,1295.326538
200,-7824077.672,1354147.242,1729
201,-7821992.765,1354147.242,513
202,-7824309.329,1353915.586,1747.8125
203,-7824077.672,1353915.586,1991.229126
204,-7824077.672,1353683.93,2545.282715
205,-7823846.016,1353683.93,2217.073975
206,-7823846.016,1353452.273,2228.666748
207,-7822224.421,1353452.273,318.5
208,-7824077.672,1353220.617,1926.349976
209,-7822224.421,1352988.96,869
210,-7822687.734,1352757.304,1088.5
211,-7822456.078,1352757.304,876
212,-7822224.421,1352757.304,2011
213,-7818054.607,1352757.304,699.666687
214,-7817359.638,1352757.304,2264.093018
215,-7824540.985,1352525.648,1824.760864
216,-7824309.329,1352525.648,1490.694458
217,-7822687.734,1352525.648,2190.5
218,-7822456.078,1352525.648,2071
219,-7817822.951,1352525.648,898.9091187
