"","long","lat","EVI","Bio9","Bio16"
"1374",-78.1541666666667,2.67916666666667,5471,259,1396
"1375",-78.1458333333333,2.67916666666667,5108,259,1399
"1376",-77.8958333333333,2.67916666666667,5150,262,1521
"1377",-77.8791666666667,2.67916666666667,4949,262,1544
"1378",-77.8708333333333,2.67916666666667,5200,262,1557
"1379",-77.8625,2.67916666666667,4720,262,1575
"1380",-77.8541666666667,2.67916666666667,4583,262,1589
"1381",-77.8458333333333,2.67916666666667,4848,263,1613
"1382",-77.8375,2.67916666666667,3868,263,1622
"1383",-77.8208333333333,2.67916666666667,4992,263,1659
"1384",-77.8125,2.67916666666667,5627,263,1680
"1385",-77.7875,2.67916666666667,1442,263,1729
"1386",-77.7708333333333,2.67916666666667,4864,264,1781
"1387",-78.1875,2.67083333333333,3620,258,1375
"1388",-78.1708333333333,2.67083333333333,5190,258,1381
"1389",-78.1625,2.67083333333333,2472,259,1390
"1390",-78.1541666666667,2.67083333333333,2684,259,1393
"1391",-78.1458333333333,2.67083333333333,3283,259,1395
"1392",-77.9041666666667,2.67083333333333,5288,263,1501
"1393",-77.8958333333333,2.67083333333333,5050,262,1512
"1394",-77.8875,2.67083333333333,5322,262,1525
"1395",-77.8541666666667,2.67083333333333,4789,262,1582
"1396",-77.8458333333333,2.67083333333333,4829,262,1596
"1397",-77.8375,2.67083333333333,4560,263,1622
"1398",-77.8291666666667,2.67083333333333,4907,263,1638
"1399",-77.8208333333333,2.67083333333333,5908,263,1649
"1400",-78.2541666666667,2.6625,3087,257,1352
"1401",-78.2041666666667,2.6625,4858,258,1368
"1402",-78.1958333333333,2.6625,4847,258,1371
"1403",-78.1875,2.6625,4486,257,1374
"1404",-78.1791666666667,2.6625,4996,257,1376
"1405",-78.1708333333333,2.6625,4758,258,1379
"1406",-78.1625,2.6625,3648,259,1387
"1407",-78.1541666666667,2.6625,2834,259,1389
"1408",-78.1458333333333,2.6625,5279,NA,NA
"1409",-78.1375,2.6625,4232,NA,NA
"1410",-77.8958333333333,2.6625,5400,262,1501
"1411",-77.8875,2.6625,5047,262,1513
"1412",-77.8708333333333,2.6625,4500,262,1542
"1413",-77.8458333333333,2.6625,4523,263,1597
"1414",-77.8291666666667,2.6625,4807,263,1629
"1415",-77.8125,2.6625,5037,263,1667
"1416",-77.8041666666667,2.6625,5240,263,1686
"1417",-78.2708333333333,2.65416666666667,4788,257,1345
"1418",-78.2541666666667,2.65416666666667,4756,257,1351
"1419",-78.2458333333333,2.65416666666667,4717,NA,NA
"1420",-78.1958333333333,2.65416666666667,4827,258,1370
"1421",-78.1875,2.65416666666667,2406,258,1372
"1422",-78.1791666666667,2.65416666666667,4389,257,1375
"1423",-78.1708333333333,2.65416666666667,4545,257,1377
"1424",-78.1625,2.65416666666667,4808,259,1384
"1425",-78.1541666666667,2.65416666666667,4640,259,1386
"1426",-78.1458333333333,2.65416666666667,4443,NA,NA
"1427",-77.9958333333333,2.65416666666667,3032,262,1423
"1428",-77.9875,2.65416666666667,4236,262,1428
"1429",-77.8875,2.65416666666667,4122,262,1504
"1430",-77.8208333333333,2.65416666666667,4835,264,1644
"1431",-77.7875,2.65416666666667,2899,264,1729
"1432",-78.3458333333333,2.64583333333333,5571,259,1327
"1433",-78.2875,2.64583333333333,5175,257,1338
"1434",-78.2625,2.64583333333333,4489,257,1347
"1435",-78.2541666666667,2.64583333333333,4707,257,1349
"1436",-78.2458333333333,2.64583333333333,3726,NA,NA
